iter	Passed	Remaining
1377	5916	6963
1378	5920	6959
1379	5924	6954
1380	5927	6949
1381	5932	6945
1382	5937	6941
1383	5941	6936
1384	5947	6934
1385	5952	6931
1386	5957	6927
1387	5962	6924
1388	5966	6920
1389	5970	6915
1390	5974	6910
1391	5978	6906
1392	5982	6901
1393	5986	6897
1394	5990	6892
1395	5995	6888
1396	5998	6883
1397	6003	6879
1398	6007	6875
1399	6011	6869
1400	6014	6865
1401	6020	6862
1402	6025	6858
1403	6029	6854
1404	6034	6850
1405	6040	6848
1406	6045	6844
1407	6051	6842
1408	6055	6837
1409	6059	6833
1410	6063	6828
1411	6068	6824
1412	6074	6822
1413	6078	6818
1414	6083	6814
1415	6087	6809
1416	6090	6804
1417	6094	6799
1418	6099	6795
1419	6103	6791
1420	6108	6787
1421	6112	6782
1422	6116	6778
1423	6120	6773
1424	6124	6768
1425	6127	6763
1426	6131	6758
1427	6135	6754
1428	6139	6749
1429	6142	6744
1430	6147	6740
1431	6151	6736
1432	6154	6730
1433	6158	6725
1434	6162	6720
1435	6166	6716
1436	6174	6715
1437	6179	6712
1438	6183	6707
1439	6186	6702
1440	6190	6697
1441	6193	6691
1442	6197	6687
1443	6201	6682
1444	6205	6677
1445	6209	6673
1446	6213	6668
1447	6217	6663
1448	6220	6658
1449	6223	6653
1450	6227	6648
1451	6231	6643
1452	6234	6637
1453	6238	6632
1454	6241	6627
1455	6244	6622
1456	6248	6617
1457	6251	6612
1458	6255	6607
1459	6259	6602
1460	6263	6597
1461	6267	6592
1462	6270	6587
1463	6273	6582
1464	6276	6576
1465	6280	6571
1466	6283	6566
1467	6286	6560
1468	6290	6555
1469	6293	6550
1470	6297	6545
1471	6301	6540
1472	6304	6535
1473	6307	6530
1474	6310	6524
1475	6315	6520
1476	6319	6515
1477	6323	6511
1478	6326	6506
1479	6330	6501
1480	6333	6495
1481	6337	6491
1482	6340	6485
1483	6343	6479
1484	6347	6475
1485	6350	6470
1486	6354	6465
1487	6357	6460
1488	6362	6456
1489	6366	6451
1490	6370	6447
1491	6374	6442
1492	6377	6437
1493	6381	6432
1494	6384	6427
1495	6388	6423
1496	6392	6418
1497	6396	6414
1498	6402	6411
1499	6406	6406
1500	6410	6401
1501	6415	6398
1502	6420	6394
1503	6425	6390
1504	6428	6385
1505	6433	6381
1506	6437	6377
1507	6441	6373
1508	6445	6368
1509	6448	6362
1510	6451	6357
1511	6455	6353
1512	6459	6348
1513	6464	6344
1514	6467	6339
1515	6472	6336
1516	6477	6331
1517	6480	6327
1518	6485	6323
1519	6489	6318
1520	6493	6314
1521	6496	6308
1522	6500	6304
1523	6504	6299
1524	6507	6294
1525	6511	6289
1526	6517	6286
1527	6521	6282
1528	6525	6277
1529	6529	6273
1530	6533	6268
1531	6536	6263
1532	6542	6261
1533	6546	6256
1534	6551	6252
1535	6558	6250
1536	6561	6245
1537	6566	6242
1538	6575	6241
1539	6580	6238
1540	6586	6235
1541	6593	6234
1542	6598	6230
1543	6602	6226
1544	6606	6221
1545	6611	6217
1546	6614	6212
1547	6618	6207
1548	6622	6203
1549	6626	6198
1550	6629	6193
1551	6633	6188
1552	6637	6184
1553	6641	6179
1554	6645	6175
1555	6648	6169
1556	6652	6165
1557	6655	6159
1558	6659	6155
1559	6663	6150
1560	6667	6146
1561	6671	6141
1562	6675	6136
1563	6678	6132
1564	6682	6127
1565	6686	6122
1566	6691	6118
1567	6695	6114
1568	6699	6109
1569	6702	6104
1570	6706	6100
1571	6712	6097
1572	6717	6094
1573	6722	6090
1574	6728	6088
1575	6733	6084
1576	6738	6080
1577	6744	6077
1578	6748	6073
1579	6752	6068
1580	6755	6063
1581	6760	6059
1582	6766	6056
1583	6770	6052
1584	6773	6046
1585	6776	6041
1586	6782	6038
1587	6785	6033
1588	6789	6029
1589	6794	6025
1590	6797	6020
1591	6802	6016
1592	6805	6011
1593	6810	6007
1594	6814	6002
1595	6818	5998
1596	6822	5993
1597	6827	5990
1598	6831	5985
1599	6836	5981
1600	6840	5977
1601	6845	5973
1602	6850	5970
1603	6856	5967
1604	6860	5963
1605	6864	5958
1606	6868	5953
1607	6874	5950
1608	6878	5946
1609	6882	5941
1610	6885	5936
1611	6889	5932
1612	6893	5927
1613	6899	5924
1614	6904	5920
1615	6908	5917
1616	6913	5913
1617	6917	5908
1618	6921	5904
1619	6924	5899
1620	6928	5893
1621	6932	5889
1622	6935	5884
1623	6939	5880
1624	6944	5875
1625	6947	5870
1626	6950	5865
1627	6954	5861
1628	6958	5856
1629	6961	5851
1630	6964	5846
1631	6968	5841
1632	6972	5837
1633	6977	5832
